a1,a2,a3,a4,a5,a6,a7,a8
31-Mar-2022,0.00128998212575934,0.00167320127834424,0.00215723243474244,0.00244536578783539,0.0035799740038549,0.00421087230350352,0.00437976427588329
30-Mar-2022,0.00131331562640382,0.00167844271598679,0.00215140561753866,0.00258250854722025,0.00375214326881991,0.0044856682092348,0.00450554959002959
29-Mar-2022,0.00131831545865421,0.0016883767349761,0.00215557554564115,0.00258333139404538,0.00374585120023079,0.00448568266495193,0.00449991834880652
28-Mar-2022,0.00131331535561875,0.00167844179087663,0.00214474055044562,0.00257164766359758,0.00373583437244185,0.00444031452865139,0.0046888299220258
25-Mar-2022,0.00130914903422423,0.00167592039526252,0.00214473891940142,0.00257248589529966,0.00373079901487456,0.00447611926515271,0.00448259692492225
24-Mar-2022,0.00129914976377184,0.0016593416914626,0.00212140257932545,0.00260933047989139,0.00372868626990074,0.00447229103024833,0.00448653476428858
23-Mar-2022,0.00118748536993557,0.0014950352536489,0.0019546995697275,0.00292589730868505,0.00373425798008922,0.00447950284820653,0.00446334831430862
22-Mar-2022,0.00118915183016482,0.00149999135187984,0.00195636758396175,0.0029108419357357,0.0037267375651918,0.00446861973579026,0.00449057010312209
21-Mar-2022,0.00126331816794474,0.00161199342572561,0.00200807109433915,0.00281277595350009,0.00335475143536569,0.00417026634138116,0.00524367703814651
18-Mar-2022,0.00106832170999485,0.00143343035447087,0.00178970000300458,0.0026878107933099,0.00354863882603284,0.00425017014154216,0.00460712958104057
17-Mar-2022,0.001005822899344,0.00134954499944125,0.0018329710500567,0.00272299156028679,0.00359226577525741,0.00433345523882143,0.00427148730510706
16-Mar-2022,0.00103248937757657,0.00138608196147881,0.00183465731394047,0.00270705811473858,0.00356247649832991,0.00429560753963548,0.00441839860413358
15-Mar-2022,0.0011641544273925,0.00156052355357822,0.00233797591832215,0.00259415688707057,0.00375496807359328,0.00454995260855547,0.00455660360225932
14-Mar-2022,0.00149581771841258,0.00197610913839235,0.00250731079820101,0.00269534255413276,0.00342535149887009,0.00454187868078119,0.0045134602999093
11-Mar-2022,0.0015974843450012,0.00210246258077953,0.00255151697423499,0.00272184160858913,0.00336972408659882,0.00460980215732734,0.00484854265029091
10-Mar-2022,0.00164165125176639,0.00215321490752715,0.00256736469935226,0.0027535201457813,0.00328198993458188,0.00453781736517098,0.00449468609532609
09-Mar-2022,0.001658318023424,0.00217810887271893,0.00258820502887449,0.00277185415952673,0.00326429651252404,0.00452511678162279,0.00448335760382241
08-Mar-2022,0.00165831888716354,0.00217811028872881,0.00258653829634989,0.00276850835789258,0.00326471175557415,0.00452128959280737,0.00447599202529541
07-Mar-2022,0.00173831827871559,0.00229102190634778,0.00267657017474591,0.00303758773469691,0.00341449815059454,0.00467576123861896,0.00573097506220104
04-Mar-2022,0.00148832096683248,0.001953808111592,0.00239230687928603,0.00257508159491482,0.00309249206134137,0.0043375369253021,0.00426758931619441
03-Mar-2022,0.0014391544087013,0.00188654154534384,0.00233228759155088,0.00250835878702341,0.00302656543836954,0.0042739644055547,0.00418711404538132
02-Mar-2022,0.0013499889243467,0.00176940331719322,0.0022289199958352,0.00240999005813403,0.0029247693844658,0.00417186113729732,0.00409067952949615
01-Mar-2022,0.00107082571140988,0.0014063315099852,0.00193380351680975,0.00210651114017409,0.00261768925011237,0.00386376080921332,0.00385023774230278
28-Feb-2022,0.00105915869246972,0.00139137370891385,0.00193476221225335,0.00212093598875284,0.00267924929030477,0.00388898215454861,0.00405097846029454
25-Feb-2022,0.000941658754340962,0.00123110292606866,0.00175384113283465,0.00193334627032515,0.00245335344992418,0.00369645319825496,0.00361613112009856
24-Feb-2022,0.000939158913770167,0.00122860252594385,0.00175300891786742,0.00192667779363857,0.00243745910970812,0.00368807251158195,0.00358523599609986
23-Feb-2022,0.00093915833316181,0.00123024683198148,0.00175551172816316,0.00193334705423843,0.00244498549952866,0.00369311393270139,0.00360716160348822
22-Feb-2022,0.000940825045130359,0.00122862458574111,0.00175384285554073,0.0019300115910508,0.00244331202997087,0.0036914188360331,0.00359420222509451
18-Feb-2022,0.00094415910907696,0.00122702488961603,0.00175133834838682,0.00194167731003182,0.00245292384933697,0.00369727825482433,0.00362540534260563
17-Feb-2022,0.000948325439233317,0.00123283630074749,0.00175967688598013,0.00195334961762606,0.00248429123408566,0.00371488711276348,0.0037077786032771
16-Feb-2022,0.00094749207394579,0.00123364701551154,0.00175967753039395,0.00195335155843657,0.00248430053893683,0.00371492806683125,0.00370218154221389
15-Feb-2022,0.000944991629745344,0.00122785715246638,0.00175551005355983,0.00193668149833688,0.00245502982985425,0.00369816764337728,0.0036234717078933
14-Feb-2022,0.000944991596983618,0.00123114634789915,0.00175717767092033,0.00194335013853688,0.00246673731305783,0.00370485319600814,0.00365267525591182
11-Feb-2022,0.000956658304159533,0.00124281406716585,0.00176551107132072,0.00192334498478591,0.00247718788605829,0.0037413520247674,0.00369704509346427
10-Feb-2022,0.000946657897119337,0.0012262342831844,0.00175551057114015,0.00193668164718544,0.00245503121780828,0.00369816687297108,0.00362346610858401
09-Feb-2022,0.000946659850007846,0.00122623652111815,0.00175550697155703,0.00193667393770586,0.00245501789578074,0.00369813521441586,0.00362907239054111
08-Feb-2022,0.000948326628074808,0.00122790353324476,0.00176051031450928,0.00194000886846839,0.00246672569694819,0.00370484684949645,0.00365831095024969
07-Feb-2022,0.000947493627020081,0.00123035987249292,0.00175633871905866,0.00194334009872015,0.002470905815639,0.0037065055031489,0.00365996943676602
