dates,1m,3m,6m,9m,12m,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,13y,14y,15y,16y,17y,18y,19y,20y,21y,22y,23y,24y,25y,26y,27y,28y,29y,30y
2008-09-19,0.9983846136950415,0.9950862640282285,0.9901740082293362,0.9848970954892206,0.9793446421523645,0.9515217377985719,0.9170238696865618,0.8803387616536009,0.8437525307990684,0.8073863531432715,0.7716436947228719,0.7369156202077825,0.7033262245191444,0.6707826482051465,0.6390947492789436,0.6083976184054144,0.5789280044790485,0.550912247082895,0.5245831119952756,0.5001131670994512,0.47745333471824486,0.45650852409377274,0.4371289383339719,0.41911198913762526,0.4022837919317884,0.3864130831950736,0.371266545810488,0.35659864619638615,0.34216888787901534,0.32770019761660013,0.3129252671268751,0.29759001955273995,0.2814095101421535,0.2641179507938542
2008-09-25,0.9984269782956952,0.9954131362680767,0.9909344363094232,0.9861354289368623,0.9809105007450015,0.9514362611793181,0.9144647027329089,0.8771249926545408,0.8417311329824508,0.8065465681542698,0.7714199493839848,0.7368556685040111,0.7030001986207739,0.6697705402649298,0.6370700359110862,0.6051494549087543,0.574435308876239,0.5453482610416371,0.5183487952107847,0.49381171963103754,0.47169209188306827,0.4517769863754484,0.4338023518123504,0.41746182864583203,0.4024271463431442,0.38834165461889386,0.37479702449938945,0.36139216233118293,0.34769545593901574,0.333277518132538,0.31770127738592296,0.30048042121946783,0.28121024850570175,0.2594183613530869
2008-09-29,0.9986155859260446,0.9960142001744519,0.9921240234399221,0.9880719948778347,0.9835539936718136,0.9592363725362228,0.9245013420303743,0.888527292070822,0.8545207298159013,0.8201214053485691,0.7855116432957803,0.7519556826310634,0.7196939129851488,0.6883792360840824,0.6575733090988323,0.6273770813255135,0.598101576120454,0.5700624360493365,0.543601474506319,0.5190036629055552,0.49626722854392147,0.4752938544159268,0.4559365510897085,0.43803013873378766,0.42135691705109907,0.40571797324524145,0.39086905488338103,0.37655035591573566,0.3624893006914087,0.348418558784419,0.3340480641065402,0.3191147523976695,0.303288985175857,0.28630756750710135
2008-09-30,0.9985117182838978,0.9955853257692078,0.9912340219270878,0.9865403829207168,0.9812377529262963,0.9534192630268951,0.9173876735245866,0.8799781456231541,0.8438483942968024,0.8078964033290431,0.772382504814547,0.7380546876662386,0.7049989109619013,0.672880431586106,0.6412730263654072,0.6103288613541784,0.5804170158597469,0.5519451408233806,0.5253174821783277,0.5009098252521299,0.47867232677426425,0.4584632132009327,0.44006203173736524,0.4232107838222158,0.4076468463814218,0.3930560460848089,0.37910224046491703,0.36547430503156036,0.35180431360545245,0.337712538288241,0.3228263786476739,0.3067695443376575,0.28916662150956013,0.26964858997257335
2008-10-01,0.9985615720554541,0.9958183099618925,0.9917648803162936,0.987373224363533,0.9822015261447312,0.9544461728248378,0.9192328424092652,0.8827889720834442,0.8474429682943652,0.8121720867242749,0.777176995836306,0.7431066438620938,0.7101249185697875,0.6780473525050668,0.6466370490888846,0.6160736199312354,0.5866858487683525,0.558822267251935,0.5328449476646955,0.5090457043450476,0.48738294694711526,0.4676883012370448,0.4497500130794188,0.4333199834358795,0.41810613479207703,0.4038173295001348,0.39012754700717706,0.37667792266151,0.3631086150649272,0.34904795470255323,0.3341314567979829,0.31795898762890085,0.3001300442474924,0.28029904839279546
2008-10-02,0.9986666967376304,0.9961518653441755,0.9923775480534017,0.9883283365099853,0.9835201365912766,0.9568234739776209,0.9228066069845418,0.8870769109341113,0.8518142670632638,0.8162966663493374,0.780936243857444,0.7465335786810644,0.7132893539771429,0.681023733315177,0.6494602690952231,0.6187879522641406,0.5893383185079372,0.5614564758707619,0.5354958207280849,0.5117574218678913,0.4901711492070027,0.47058367636874443,0.45277357074153124,0.4364680880730021,0.42138826100654275,0.407215158797568,0.39359250685701774,0.38018765387735254,0.36662356542300567,0.3524796057097558,0.33740289970677717,0.32095773081798395,0.3027561712198863,0.2824007333088299
2008-10-03,0.998731112122049,0.9962970130766474,0.9927740937585782,0.989032128214169,0.9847550077254029,0.9600974618810838,0.926938759344264,0.8916102733327333,0.8566177039350091,0.8210381814618072,0.7854892420588563,0.7511407785822181,0.7182516703305528,0.6864968946003642,0.6554487217716041,0.6252538250529018,0.5962420766171113,0.5687689445211119,0.5431905267881756,0.5198115167062628,0.49857536078874237,0.47933079295973063,0.4618576092439697,0.44589662255621854,0.4311692633319867,0.41735582236486596,0.4041268447295604,0.3911331462007804,0.37797848419048374,0.3642980203489146,0.34966998534775334,0.33371368078825614,0.31601481059007824,0.2961799662958769
2008-10-06,0.9987543868205703,0.9963863557841598,0.9930180898105421,0.9895385979425513,0.985531413321034,0.9642373414990892,0.9321847520303026,0.8980274536291426,0.8647906970493336,0.8301673907232192,0.7948342096806653,0.7607444518194226,0.7283316485677837,0.6971892571789818,0.6667623271663222,0.6371447394310231,0.6086577988197834,0.581624634398187,0.5563855243500219,0.5332042216971546,0.5120462814482715,0.4927597980593072,0.4751488985990107,0.45898031660067223,0.4439888720731043,0.429867722126211,0.41631482043570783,0.40299393639074244,0.3895517017716255,0.37560483048034576,0.36077462873098093,0.34469205745795817,0.32695278499287694,0.30718930178280035
2008-10-07,0.9986268049243288,0.9963329964067251,0.9930501386049732,0.9896157148996295,0.9854634289594196,0.9640279844399549,0.9326557493941662,0.8985893057054515,0.8645210640628342,0.8288519665114732,0.7925485518812022,0.7576474128865559,0.7246411809764112,0.6931630799438261,0.6626592063339888,0.6331999270213218,0.6049919825346864,0.5782764230617219,0.5532522261997369,0.5300695325083055,0.5086922166022289,0.48899857986776296,0.47081830336225683,0.4539628949100753,0.43821819890713054,0.42334822016872353,0.40908375973801264,0.39515392563274826,0.38129017886211425,0.3671828421759538,0.3525134362412009,0.33697409367153547,0.32027192679522765,0.30208270280409927
2008-10-09,0.9988686979605016,0.9968892072288423,0.9939137690353124,0.9901632234565707,0.9865425727649137,0.9617606525958444,0.9260402675830627,0.8875860222276462,0.849706773356862,0.811334834625479,0.7735780916896211,0.7383129752565764,0.7059656625734213,0.676121363619135,0.6480951148689185,0.6217344688865066,0.5969876274001668,0.5737754339110857,0.551930033016719,0.531306470002796,0.5118132276898564,0.49339290922257945,0.4759805064216168,0.4595045455890544,0.4438744033583266,0.42899373196280505,0.4147904102791358,0.40116059494969003,0.387997037072181,0.3752210254667878,0.3627054512274593,0.35036972807705613,0.3381003755723177,0.3258002843108731
