Date,Savings
6/30/2000,1791.1
5/31/2000,1782.9
4/30/2000,1789
3/31/2000,1770.7
2/29/2000,1751.5
1/31/2000,1757.1
12/31/1999,1741.8
11/30/1999,1744.2
10/31/1999,1747
9/30/1999,1742.5
8/31/1999,1744.1
7/31/1999,1728.9
6/30/1999,1706.3
5/31/1999,1699
4/30/1999,1677.6
3/31/1999,1654
2/28/1999,1638.7
1/31/1999,1621.9
12/31/1998,1609.7
11/30/1998,1583.8
10/31/1998,1565.1
9/30/1998,1543.8
8/31/1998,1532.8
7/31/1998,1515.6
6/30/1998,1497.4
5/31/1998,1482.9
4/30/1998,1470.4
3/31/1998,1456
2/28/1998,1436.7
1/31/1998,1417
12/31/1997,1409.2
11/30/1997,1390.7
10/31/1997,1384
9/30/1997,1370.6
8/31/1997,1351
7/31/1997,1341.7
6/30/1997,1336.6
5/31/1997,1332.1
4/30/1997,1321.6
3/31/1997,1313.8
2/28/1997,1296.4
1/31/1997,1290.1
12/31/1996,1284.5
11/30/1996,1268.8
10/31/1996,1259.7
9/30/1996,1240.6
8/31/1996,1229.8
7/31/1996,1217.1
6/30/1996,1205.2
5/31/1996,1203.4
4/30/1996,1185
3/31/1996,1176.8
2/29/1996,1165.6
1/31/1996,1154.1
12/31/1995,1137.7
11/30/1995,1126.7
10/31/1995,1122.9
9/30/1995,1118.2
8/31/1995,1108.9
7/31/1995,1101.6
6/30/1995,1100.3
5/31/1995,1096.1
4/30/1995,1084.1
3/31/1995,1098.4
2/28/1995,1114.5
1/31/1995,1133.6
12/31/1994,1149.4
11/30/1994,1165.2
10/31/1994,1175.6
9/30/1994,1192.2
8/31/1994,1198.9
7/31/1994,1208
6/30/1994,1212.8
5/31/1994,1220.6
4/30/1994,1220.8
3/31/1994,1226.4
2/28/1994,1226.8
1/31/1994,1225.9
12/31/1993,1219.2
11/30/1993,1216.3
10/31/1993,1211.8
9/30/1993,1212.7
8/31/1993,1210
7/31/1993,1206.2
6/30/1993,1204.4
5/31/1993,1202.4
4/30/1993,1190.2
3/31/1993,1188.3
2/28/1993,1190.2
1/31/1993,1186.7
12/31/1992,1186.9
11/30/1992,1183.2
10/31/1992,1177.3
9/30/1992,1169.8
8/31/1992,1156.5
7/31/1992,1144.3
6/30/1992,1133.8
5/31/1992,1127.3
4/30/1992,1117.8
3/31/1992,1106.9
2/29/1992,1090.5
1/31/1992,1072.2
12/31/1991,1048.6
11/30/1991,1034.8
10/31/1991,1024.4
9/30/1991,1010.5
8/31/1991,1001.9
7/31/1991,996.7
6/30/1991,984.8
5/31/1991,975.1
4/30/1991,961.9
3/31/1991,948.8
2/28/1991,936.5
1/31/1991,930
12/31/1990,924.3
11/30/1990,924.1
10/31/1990,923.2
9/30/1990,921.7
8/31/1990,921.7
7/31/1990,917.8
6/30/1990,915.2
5/31/1990,913
4/30/1990,912.3
3/31/1990,909.9
2/28/1990,905.8
1/31/1990,901.3
12/31/1989,894.7
11/30/1989,888.4
10/31/1989,880.9
9/30/1989,868.3
8/31/1989,864.1
7/31/1989,862.8
6/30/1989,859.4
5/31/1989,857.3
4/30/1989,876.7
3/31/1989,892
2/28/1989,896.5
1/31/1989,910.7
12/31/1988,927.4
11/30/1988,933.5
10/31/1988,935.2
9/30/1988,941.3
8/31/1988,950.2
7/31/1988,958.1
6/30/1988,959.9
5/31/1988,949.8
4/30/1988,948
3/31/1988,946.8
2/29/1988,938.7
1/31/1988,936.9
12/31/1987,935.9
11/30/1987,938
10/31/1987,950.1
9/30/1987,953.5
8/31/1987,955.2
7/31/1987,964.3
6/30/1987,967.3
5/31/1987,967.1
4/30/1987,969.6
3/31/1987,965.6
2/28/1987,954
1/31/1987,956.6
12/31/1986,945.9
11/30/1986,935.4
10/31/1986,924.6
9/30/1986,911.4
8/31/1986,897
7/31/1986,885.3
6/30/1986,874.7
5/31/1986,854.7
4/30/1986,842.6
3/31/1986,831.4
2/28/1986,822
1/31/1986,820
12/31/1985,816.3
11/30/1985,811.5
10/31/1985,806.2
9/30/1985,796
8/31/1985,788.5
7/31/1985,782.3
6/30/1985,770.1
5/31/1985,754.3
4/30/1985,748.1
3/31/1985,744.5
2/28/1985,734.3
1/31/1985,727.8
12/31/1984,708.2
11/30/1984,695.5
10/31/1984,688.7
9/30/1984,686.1
8/31/1984,686.4
7/31/1984,694.8
6/30/1984,701.5
5/31/1984,703.9
4/30/1984,702
3/31/1984,709.1
2/29/1984,659.9
1/31/1984,686.5
12/31/1983,682.6
11/30/1983,679.3
10/31/1983,680.2
9/30/1983,684.3
8/31/1983,682.2
7/31/1983,690.7
6/30/1983,689.4
5/31/1983,683.6
4/30/1983,664.5
3/31/1983,646.6
2/28/1983,619.3
1/31/1983,562.9
12/31/1982,430.8
11/30/1982,363.9
10/31/1982,356.6
9/30/1982,346.9
8/31/1982,345
7/31/1982,341.8
6/30/1982,342.7
5/31/1982,344.3
4/30/1982,343.9
3/31/1982,344.4
2/28/1982,344.9
1/31/1982,346.5
12/31/1981,344.6
11/30/1981,343
10/31/1981,342.9
9/30/1981,347.2
8/31/1981,351.6
7/31/1981,358.7
6/30/1981,361.2
5/31/1981,365
4/30/1981,371.7
3/31/1981,373.2
2/28/1981,374.8
1/31/1981,380.2
12/31/1980,392.7
11/30/1980,412.2
10/31/1980,193.9
9/30/1980,193.2
8/31/1980,191.9
7/31/1980,188.3
6/30/1980,182.9
5/31/1980,177.2
4/30/1980,176.1
3/31/1980,181.5
2/29/1980,188.8
1/31/1980,193.6
12/31/1979,193.9
11/30/1979,197
10/31/1979,201.1
9/30/1979,205.6
8/31/1979,207.5
7/31/1979,207.3
6/30/1979,207.1
5/31/1979,206.4
4/30/1979,206.9
3/31/1979,208.8
2/28/1979,210.1
1/31/1979,212
12/31/1978,216.1
11/30/1978,219
10/31/1978,221.8
9/30/1978,222.3
8/31/1978,221.9
7/31/1978,221
6/30/1978,222.1
5/31/1978,222.2
4/30/1978,221.1
3/31/1978,220.8
2/28/1978,220.2
1/31/1978,220.2
12/31/1977,219
11/30/1977,219
10/31/1977,218
9/30/1977,217.2
